Student,Homework 1 (English version),Homework 1 (Estonian version),Homework 2 (English version),Homework 2 (Estonian version),Homework 3 (English version),Homework 3 (Estonian version),Homework 4 (English version),Homework 4 (Estonian version),Homework 5 (English version),Homework 5 (Estonian version),Homework 6 (English version),Homework 6 (Estonian version),Homework 7 (English version),Homework 7 (Estonian version),Homework 8 (English version),Homework 8 (Estonian version),Homework 9 (English version),Homework 9 (Estonian version),Homework 10 (English version),Homework 10 (Estonian version),Homework 11 (English version),Homework 11 (Estonian version),Homework 12 (English version),Homework 12 (Estonian version),Midterm exam (English version),Midterm exam (Estonian version),Midterm exam retake (English version),Midterm exam retake (Estonian version),Midterm exam retake 2 (English version),Midterm exam retake 2 (Estonian version),First final exam (English version),First final exam (Estonian version),Second final exam (English version),Second final exam (Estonian version),Final exam retake (English version),Final exam retake (Estonian version),Total,Grade
A053,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-
A054,0.0,90.0,-,0.0,-,70.0,-,0.0,-,0.0,-,24.0,-,0.0,-,0.0,-,0.0,-,0.0,-,45.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.82,-
A055,-,70.0,-,70.0,0.0,90.0,0.0,93.5,-,99.0,0.0,49.0,-,0.0,-,49.0,0.0,3.0,-,0.0,-,0.0,-,-,-,96,-,-,-,-,-,-,-,54,-,-,68.73,D
A056,110.0,-,110.0,-,70.0,-,110.0,-,100.0,-,106.0,-,104.0,-,108.0,-,0.0,-,92.0,-,110.0,-,100.0,-,96,-,-,-,-,-,92,-,-,-,-,-,93.87,A
A057,-,50.0,-,102.0,-,80.0,-,77.5,-,47.0,-,39.0,-,0.0,-,35.0,-,100.0,-,40.0,-,44.5,-,-,-,70,-,-,-,-,-,41,-,-,-,-,54.65,E
A058,-,100.0,-,110.0,-,60.0,-,110.0,-,108.0,-,72.0,-,73.0,0.0,72.0,-,100.0,-,15.0,-,90.0,-,0.0,-,88,-,-,-,-,-,77,-,-,-,-,81.17,B
A059,-,100.0,-,0.0,-,-,-,87.5,0.0,96.0,-,29.0,-,44.0,0.0,-,-,0.0,-,0.0,-,-,-,-,59,-,-,-,-,-,-,-,-,-,-,69,57.14,E
A060,-,90.0,-,100.0,-,100.0,-,90.0,-,90.0,-,29.0,-,30.0,-,50.0,-,20.0,-,30.0,-,49.0,-,0.0,-,40,-,71,-,-,-,42,-,-,-,-,56.5,E
A061,-,100.0,-,0.0,-,40.0,-,67.5,-,92.0,-,24.0,-,70.0,-,50.0,-,60.0,-,0.0,-,42.5,-,0.0,-,61,-,-,-,-,-,-,-,-,-,63,58.7,E
A062,-,80.0,-,40.0,-,80.0,-,0.0,-,84.0,-,46.0,0.0,0.0,-,-,-,0.0,-,-,-,-,-,-,-,52,-,-,-,-,-,-,-,29,-,-,37.9,F
A063,-,100.0,-,110.0,-,40.0,-,100.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,-,-,-,-,-,26,-,-,-,92,72.23,C
A064,-,100.0,-,110.0,-,110.0,-,85.0,-,98.0,-,74.0,-,73.0,-,80.0,-,95.0,-,8.0,-,67.0,-,0.0,-,72,-,-,-,-,-,58,-,-,-,-,67.0,D
A065,0.0,110.0,-,110.0,0.0,110.0,-,100.0,-,97.0,-,66.0,-,30.0,-,56.0,-,75.0,-,0.0,-,96.0,-,0.0,-,80,-,-,-,-,-,61,-,-,-,-,70.57,C
A066,10.0,110.0,0.0,85.0,-,110.0,0.0,100.0,0.0,95.0,0.0,77.0,0.0,99.0,0.0,70.0,0.0,93.0,0.0,40.0,0.0,87.0,0.0,50.0,-,63,-,-,-,-,-,-,-,62,-,-,66.93,D
A067,-,80.0,-,108.0,-,50.0,-,90.0,-,100.0,-,100.0,-,59.0,-,55.0,-,100.0,-,70.0,-,50.0,-,47.0,-,70,-,-,-,-,-,-,-,22,-,-,51.95,E
